JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460053.19375,<12.5,,,Vis.,PEX,,12.5,,X28654DF,Estimate from a DSLR image.  125 comparison star is UCAC4 242-117155.,,,Z,,,,PNV J17224490-4137160,AAVSO,STD,,,,
2460054.19028,<12.5,,,Vis.,PEX,,125,,X28654DF,Estimate from a DSLR image.  125 comparison star is UCAC4 242-117155.,,,Z,,,,PNV J17224490-4137160,AAVSO,STD,,,,
2460055.20486,8.0,,,Vis.,PEX,,73,82,X28654DF,APASS V mags for comparison stars 73 - UCAC4 240-117659 and 82 - UCAC4 240-118317,,,Z,,,,PNV J17224490-4137160,AAVSO,STD,,,,
2460055.22002,8.475,0.001,,B,PEX,,113,121,X28654DF,|CMAGINS=-8.915|CREFERR=0.020|CREFMAG=11.849|KMAG=12.734|KMAGINS=-8.029|KREFERR=0.036|KREFMAG=12.717|OBSERVAT=PERTH OBSERVATORY|VMAGINS=-12.289|COMP STAR UCAC4 242-117569 AND CHECK STAR UCAC4 243-123373,0,1.163,Z,-8.915,-8.029,,PNV J17224490-4137160,AAVSO,STD,0,,,
2460055.22153,7.9,,,Vis.,PEX,,73,82,X28654DF,APASS V mags for comparison stars 73 - UCAC4 240-117659 and 82 - UCAC4 240-118317,,,Z,,,,PNV J17224490-4137160,AAVSO,STD,,,,
2460055.22350,6.343,0.016,,I,PEX,,113,115,X28678HU,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-8.394|CREFERR=0.187|CREFMAG=10.452|KMAG=10.975|KMAGINS=-7.871|KREFERR=0.193|KREFMAG=10.984|VMAGINS=-12.503,0,1.152,Z,-8.394,-7.871,,V1716 SCO,AAVSO,STD,,,,
2460055.22395,8.482,0.001,,B,PEX,,113,121,X28654DF,|CMAGINS=-8.836|CREFERR=0.020|CREFMAG=11.849|KMAG=12.748|KMAGINS=-7.937|KREFERR=0.036|KREFMAG=12.717|OBSERVAT=PERTH OBSERVATORY|VMAGINS=-12.203|COMP STAR UCAC4 242-117569 AND CHECK STAR UCAC4 243-123373,0,1.150,Z,-8.836,-7.937,,PNV J17224490-4137160,AAVSO,STD,0,,,
2460055.22429,7.638,0.001,,V,PEX,,113,121,X28654DF,|CMAGINS=-9.670|CREFERR=0.085|CREFMAG=11.365|KMAG=12.106|KMAGINS=-8.929|KREFERR=0.081|KREFMAG=12.098|OBSERVAT=PERTH OBSERVATORY|VMAGINS=-13.397|COMP STAR UCAC4 242-117569 AND CHECK STAR UCAC4 243-123373,0,1.149,Z,-9.670,-8.929,,PNV J17224490-4137160,AAVSO,STD,0,,,
2460055.22461,6.943,0.008,,R,PEX,,113,115,X28678HU,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-9.771|CREFERR=0.147|CREFMAG=10.877|KMAG=11.185|KMAGINS=-9.463|KREFERR=0.151|KREFMAG=11.256|VMAGINS=-13.705,0,1.148,Z,-9.771,-9.463,,V1716 SCO,AAVSO,STD,,,,
2460055.22495,6.355,0.032,,I,PEX,,113,115,X28678HU,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-8.441|CREFERR=0.187|CREFMAG=10.452|KMAG=10.875|KMAGINS=-8.017|KREFERR=0.193|KREFMAG=10.984|VMAGINS=-12.538,0,1.147,Z,-8.441,-8.017,,V1716 SCO,AAVSO,STD,,,,
2460055.25538,6.260,0.016,,I,PEX,,113,115,X28678HU,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-8.399|CREFERR=0.187|CREFMAG=10.452|KMAG=10.968|KMAGINS=-7.883|KREFERR=0.193|KREFMAG=10.984|VMAGINS=-12.591,0,1.074,Z,-8.399,-7.883,,V1716 SCO,AAVSO,STD,,,,
2460055.25583,8.496,0.001,,B,PEX,,113,121,X28654DF,|CMAGINS=-8.851|CREFERR=0.020|CREFMAG=11.849|KMAG=12.690|KMAGINS=-8.010|KREFERR=0.036|KREFMAG=12.717|OBSERVAT=PERTH OBSERVATORY|VMAGINS=-12.205|COMP STAR UCAC4 242-117569 AND CHECK STAR UCAC4 243-123373,0,1.073,Z,-8.851,-8.010,,PNV J17224490-4137160,AAVSO,STD,0,,,
2460055.25649,6.925,0.010,,R,PEX,,113,115,X28678HU,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-9.829|CREFERR=0.147|CREFMAG=10.877|KMAG=11.266|KMAGINS=-9.441|KREFERR=0.151|KREFMAG=11.256|VMAGINS=-13.782,0,1.072,Z,-9.829,-9.441,,V1716 SCO,AAVSO,STD,,,,
2460055.25683,6.280,0.033,,I,PEX,,113,,X28678HU,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-8.457|CREFERR=0.187|CREFMAG=10.452|VMAGINS=-12.629,0,1.071,Z,-8.457,,,V1716 SCO,AAVSO,STD,,,,
2460055.25972,7.6,,,Vis.,PEX,,73,82,X28654DF,APASS V mags for comparison stars 73 - UCAC4 240-117659 and 82 - UCAC4 240-118317,,,Z,,,,PNV J17224490-4137160,AAVSO,STD,,,,
2460055.31824,8.349,0.001,,B,PEX,,113,121,X28654DF,|CMAGINS=-9.019|CREFERR=0.020|CREFMAG=11.849|KMAG=12.701|KMAGINS=-8.167|KREFERR=0.036|KREFMAG=12.717|OBSERVAT=PERTH OBSERVATORY|VMAGINS=-12.518|COMP STAR UCAC4 242-117569 AND CHECK STAR UCAC4 243-123373,0,1.014,Z,-9.019,-8.167,,PNV J17224490-4137160,AAVSO,STD,0,,,
