JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457681.98542,11.0,,,Vis.,PEX,,107,116,X16815DT,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457682.5634,10.96,0.08,,B,OCN,,100,103,X16822OP,Very high air mass at time of obs.,0,2.71,Z,10.707,10.416,,TCP J18102829-2729590,AAVSO,STD,,,,
2457682.98056,9.9,,,Vis.,PEX,U,96,103,X16815DT,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457683.00,9.5,,,Vis.,BNK,Y,91,100,X16822IS,,,,Z,,,,V5855 SGR,AAVSO,STD,,,,
2457683.03125,9.8,,,Vis.,PEX,U,96,103,X16815DT,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457683.49306,9.1,,,Vis.,ACN,U,91,96,X16815DM,,,,Z,,,,TCP J18102829-2729590,REA,STD,,,,
2457683.5488,9.51,0.03,,B,OCN,,91,96,X16822OP,iT21. Very high air mass.,0,2.51,Z,9.233,9.885,,TCP J18102829-2729590,AAVSO,STD,,,,
2457683.5499,8.92,0.03,,V,OCN,,91,96,X16822OP,iT21. Very high air mass.,0,2.53,Z,9.124,9.623,,TCP J18102829-2729590,AAVSO,STD,,,,
2457683.5599,8.622,0.06,,R,OCN,,91,96,X16822OP,iT21. Rc values for 91 and 96 are approx.,0,2.70,Z,9.100,9.500,,TCP J18102829-2729590,AAVSO,STD,,,,
2457683.5611,8.27,0.05,,I,OCN,,96,91,X16822OP,iT21.  Ic mags for 91 and 96 comps are approx.,0,2.72,Z,9.458,9.050,,TCP J18102829-2729590,AAVSO,STD,,,,
2457683.9792,8.6,,,Vis.,PEX,U,86,,X16815DS,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457684.0535,8.7,,,Vis.,PEX,U,86,91,X16815DS,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457684.58333,8.4,,,Vis.,COL,L,8.6,8.0,X16832J,"""trouble with finding 8.6 comp, also used  9.1""",,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457684.90795,8.038,0.005,,V,BHQ,,100,91,X16832BAY,,0,1.558,Z,-9.229,-10.115,,TCP J18102829-2729590,VSS,STD,,,,
2457684.91097,8.751,0.007,,B,BHQ,,100,91,X16832BAY,,0,1.588,Z,-8.089,-9.459,,TCP J18102829-2729590,VSS,STD,,,,
2457684.9566,8.62,0.03,,B,OCN,,91,96,X16822OP,iT17,0,2.15,Z,9.233,9.885,,TCP J18102829-2729590,AAVSO,STD,,,,
2457684.9580,8.02,0.02,,V,OCN,,91,96,X16822OP,iT17,0,2.18,Z,9.124,9.623,,TCP J18102829-2729590,AAVSO,STD,,,,
2457684.9590,7.65,0.05,,R,OCN,,91,96,X16822OP,Rc mags for comps are approx. iT17,0,2.20,Z,9.100,9.500,,TCP J18102829-2729590,AAVSO,STD,,,,
2457684.98472,8.0,,,Vis.,PEX,,79,86,X16815DS,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457685.00082,8.0,,,Vis.,BDJB,B,79,80,X16832JX,"""8\"" SCT, 82x mag""",,,Z,,,,TCP J18102829-2729590,ASSAU,STD,,,,
2457685.49236,7.8,,,Vis.,SLH,,75,79,x16815dv,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457685.8858,8.71,0.04,,B,OCN,,91,96,X16822OP,iT9,0,1.34,Z,9.233,9.885,,TCP J18102829-2729590,AAVSO,STD,,,,
2457685.8862,7.89,0.04,,V,OCN,,91,96,X16822OP,iT9,0,1.34,Z,9.124,9.623,,TCP J18102829-2729590,AAVSO,STD,,,,
